State,District,Projected_Child_Updates_3Mo
Maharashtra,Pune,93208.27395041125
Maharashtra,Nashik,92875.81336111539
Maharashtra,Thane,92078.45453862277
Maharashtra,Jalgaon,72833.70383245501
Maharashtra,Ahmadnagar,63844.72131640671
Andhra Pradesh,Kurnool,60395.97827346404
Maharashtra,Mumbai,56690.02706331276
Maharashtra,Yavatmal,53693.30099127818
Maharashtra,Nanded,53366.01397024272
Maharashtra,Nagpur,53137.440662550245
Gujarat,Ahmedabad,51695.8627087525
Andhra Pradesh,Chittoor,51284.1567992709
Rajasthan,Jaipur,50593.486986324446
Andhra Pradesh,East Godavari,50471.46056075497
Telangana,K.v. Rangareddy,49917.397534977215
Maharashtra,Amravati,48212.72616170154
Andhra Pradesh,Guntur,47390.8653711965
Maharashtra,Solapur,45987.49520460981
Chhattisgarh,Raipur,45846.79360578328
Chhattisgarh,Bilaspur,44777.48927840233
